,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
0,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,3.0670363903045654,0.03396463394165039
1,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5579640865325928,0.03200030326843262
2,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.4574012756347656,0.03193163871765137
3,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3069708347320557,0.030963659286499023
4,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.5236585140228271,0.0320432186126709
5,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3459255695343018,0.032039642333984375
6,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3429510593414307,0.03199958801269531
7,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.6414122581481934,0.03396439552307129
8,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3653991222381592,0.034032344818115234
9,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.360943078994751,0.030999422073364258
10,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.8043217658996582,0.030968666076660156
11,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.286848783493042,0.03100132942199707
12,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.285966157913208,0.033998727798461914
13,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.51124906539917,0.03299832344055176
14,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3572332859039307,0.031000137329101562
15,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3110103607177734,0.03199934959411621
16,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.7284700870513916,0.03100109100341797
17,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3164210319519043,0.03196549415588379
18,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.53566312789917,0.031000852584838867
19,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3277969360351562,0.03200054168701172
20,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2927119731903076,0.031000614166259766
21,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5598912239074707,0.031032323837280273
22,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.293501377105713,0.03095078468322754
23,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3000025749206543,0.029992103576660156
24,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.309410572052002,0.03196120262145996
25,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.730010747909546,0.030978918075561523
26,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2933731079101562,0.031998634338378906
27,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5250022411346436,0.030963897705078125
28,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.290949821472168,0.030000686645507812
29,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3249986171722412,0.03199362754821777
30,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3311703205108643,0.03300118446350098
31,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5937795639038086,0.031000852584838867
32,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3049993515014648,0.029957056045532227
33,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3022737503051758,0.03198504447937012
34,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2944145202636719,0.5219540596008301
35,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2996387481689453,0.03202247619628906
36,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2813048362731934,0.031000852584838867
37,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2949390411376953,0.031002044677734375
38,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.5858514308929443,0.032062530517578125
39,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2910008430480957,0.030998945236206055
40,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3604557514190674,0.03171229362487793
41,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.4219646453857422,0.03200101852416992
42,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.9120352268218994,0.036965131759643555
43,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.4518980979919434,0.032087087631225586
44,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2706348896026611,0.03199148178100586
45,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5729894638061523,0.0310516357421875
46,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2980237007141113,0.03100109100341797
47,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2779662609100342,0.03100752830505371
48,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3462703227996826,0.03203320503234863
49,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.775888204574585,0.030998945236206055
50,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3029675483703613,0.03400230407714844
51,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3837151527404785,0.034000396728515625
52,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.6142644882202148,0.029992103576660156
53,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2797305583953857,0.031010866165161133
54,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.279374361038208,0.030950307846069336
55,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2932581901550293,0.031961917877197266
56,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.7732551097869873,0.031000614166259766
57,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.28739333152771,0.03195047378540039
58,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3027229309082031,0.03000187873840332
59,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.5789592266082764,0.032997846603393555
60,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2789292335510254,0.03103351593017578
61,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2796275615692139,0.03203272819519043
62,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3633856773376465,0.03203320503234863
63,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.6835174560546875,0.031031131744384766
64,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2897756099700928,0.03200078010559082
65,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3032128810882568,0.03104257583618164
66,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3326308727264404,0.03103470802307129
67,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2898602485656738,0.032973527908325195
68,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.9152553081512451,0.032000064849853516
69,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2989857196807861,0.03096795082092285
70,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.291944980621338,0.031967878341674805
71,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3107860088348389,0.04094552993774414
72,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.812957763671875,0.03299593925476074
73,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3447718620300293,0.03099679946899414
74,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3630003929138184,0.03196454048156738
75,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.350954532623291,0.03103470802307129
76,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.6429963111877441,0.031010866165161133
77,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2879958152770996,0.0310211181640625
78,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.285355806350708,0.03200364112854004
79,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2899506092071533,0.031999826431274414
80,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.308903694152832,0.5570023059844971
81,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.285956621170044,0.031006336212158203
82,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2863938808441162,0.03098464012145996
83,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3349807262420654,0.03306102752685547
84,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3283898830413818,0.3859579563140869
85,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2841551303863525,0.029964923858642578
86,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.271803617477417,0.030013084411621094
87,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2976462841033936,0.0319976806640625
88,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2958173751831055,0.03200125694274902
89,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.888526439666748,0.03200268745422363
90,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2941639423370361,0.030995845794677734
91,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3010828495025635,0.031026601791381836
92,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3389532566070557,0.031002044677734375
93,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2834417819976807,0.030999422073364258
94,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.745988130569458,0.030014514923095703
95,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3099749088287354,0.031021595001220703
96,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2844622135162354,0.03200078010559082
97,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3020009994506836,0.030946969985961914
98,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.293999433517456,0.031002044677734375
99,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.9121205806732178,0.0320589542388916
100,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.290729284286499,0.031038999557495117
101,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2930026054382324,0.03098440170288086
102,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2932331562042236,0.0310361385345459
103,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3081600666046143,0.030011653900146484
104,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.8399062156677246,0.031002283096313477
105,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.36967134475708,0.032998085021972656
106,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3192322254180908,0.031000614166259766
107,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3008668422698975,0.03100752830505371
108,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.6783483028411865,0.031055927276611328
109,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3167152404785156,0.03199005126953125
110,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2833795547485352,0.03101325035095215
111,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.290001392364502,0.030998706817626953
112,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3009674549102783,0.03096795082092285
113,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.9753446578979492,0.031954288482666016
114,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3385412693023682,0.031031131744384766
115,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.282362937927246,0.03197669982910156
116,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3659992218017578,0.035997629165649414
117,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3196079730987549,0.032029151916503906
118,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.720806360244751,0.030962705612182617
119,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2924315929412842,0.031000614166259766
120,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2990479469299316,0.030384540557861328
121,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3003621101379395,0.030999183654785156
122,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.326265811920166,0.031022310256958008
123,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2896840572357178,0.03203296661376953
124,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,2.0079662799835205,0.03200173377990723
125,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.283686876296997,0.03204083442687988
126,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.326753854751587,0.032013893127441406
127,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3505585193634033,0.03099989891052246
128,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3653790950775146,0.030965566635131836
129,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2964515686035156,0.031966209411621094
130,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.9556233882904053,0.031001567840576172
131,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.303004503250122,0.03102588653564453
132,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3140554428100586,0.03003525733947754
133,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2960765361785889,0.032001495361328125
134,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2928168773651123,0.030979633331298828
135,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.8061327934265137,0.03203535079956055
136,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.2922124862670898,0.030999183654785156
137,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.302121877670288,0.03396892547607422
138,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3460469245910645,0.031000137329101562
139,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.2959513664245605,0.030008316040039062
140,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3028254508972168,0.03193521499633789
141,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.289656639099121,0.03198122978210449
142,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,2.094447374343872,0.032999515533447266
143,"AutoEncoder {'batch_size': 8, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3532633781433105,0.029963970184326172
144,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3126904964447021,0.03199887275695801
145,"AutoEncoder {'batch_size': 4, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3024888038635254,0.032001495361328125
146,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,1.3135998249053955,0.03099966049194336
147,"AutoEncoder {'batch_size': 4, 'dropout': 0.2, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3470008373260498,0.03167915344238281
148,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [8, 4, 4, 8]}",0.5,0.5,0.5,2.0325663089752197,0.032036542892456055
149,"AutoEncoder {'batch_size': 8, 'dropout': 0, 'epochs': 10, 'hidden_neurons': [4, 2, 2, 4]}",0.5,0.5,0.5,1.3835160732269287,0.031002521514892578
